Region,SbWtrshd,Site_ID,Date,Site_Visit,O,H,Opm,Hpm,P(18O),P(2H),Ps(18O),Ps(2H),18O_snow,2H_snow,18O_rain,2H_rain
Parkland,05FC,368,05-May-15,1,-14.75,-130.481664,-0.01475,-0.130481664,-0.018966667,-0.146416667,-0.01325,-0.10275,-24.86666667,-192.166,-13.25,-97.7225
Parkland,05FC,368,26-May-15,2,-11.66682,-118.298082,-0.01167,-0.118298082,-0.018966667,-0.146416667,-0.01325,-0.10275,-24.86666667,-192.166,-13.25,-97.7225
Parkland,05FC,368,15-Jun-15,3,-10.721528,-109.742446,-0.01072,-0.109742446,-0.018966667,-0.146416667,-0.01325,-0.10275,-24.86666667,-192.166,-13.25,-97.7225
Parkland,05FC,368,27-Jun-15,4,-11.003863,-108.237109,-0.011,-0.108237109,-0.018966667,-0.146416667,-0.01325,-0.10275,-24.36666667,-188.101,-13.25,-97.7225
Parkland,05FC,368,05-Aug-15,5,-9.477936,-92.071321,-0.00948,-0.092071321,-0.018966667,-0.146416667,-0.01325,-0.10275,-24.36666667,-188.101,-13.25,-97.7225
,Restored,Baron-01,05-May-15,1,-10.52533,-112.325527,-0.01053,-0.112325527,-0.019116667,-0.147666667,-0.01355,-0.10475,-24.36666667,-188.101,-13.55,-100.1615
,Restored,Baron-01,20-May-15,2,-6.933024,-93.94986,-0.00693,-0.09394986,-0.019116667,-0.147666667,-0.01355,-0.10475,-24.36666667,-188.101,-13.55,-100.1615
,Restored,Beltz-03,06-May-15,1,-14.756691,-131.658249,-0.01476,-0.131658249,-0.019166667,-0.148,-0.01365,-0.1055,-24.36666667,-188.101,-13.65,-100.9745
,Restored,Beltz-03,26-May-15,2,-11.782531,-116.43256,-0.01178,-0.11643256,-0.019166667,-0.148,-0.01365,-0.1055,-24.36666667,-188.101,-13.65,-100.9745
,Restored,Beltz-03,18-Jun-15,3,-9.432393,-106.363457,-0.00943,-0.106363457,-0.019166667,-0.148,-0.01365,-0.1055,-24.36666667,-188.101,-13.65,-100.9745
,Restored,Beltz-03,24-Jun-15,4,-8.668807,-104.510257,-0.00867,-0.104510257,-0.019166667,-0.148,-0.01365,-0.1055,-24.36666667,-188.101,-13.65,-100.9745
,Restored,Beltz-03,23-Jul-15,5,-7.50566,-93.874688,-0.00751,-0.093874688,-0.019166667,-0.148,-0.01365,-0.1055,-24.36666667,-188.101,-13.65,-100.9745
,Restored,Bergq-07,01-May-15,1,-14.635685,-130.26451,-0.01464,-0.13026451,-0.019125,-0.148,-0.013425,-0.10375,-24.36666667,-188.101,-13.425,-99.14525
,Restored,Bergq-07,23-May-15,2,-10.819844,-110.590622,-0.01082,-0.110590622,-0.019125,-0.148,-0.013425,-0.10375,-24.86666667,-192.166,-13.425,-99.14525
,Restored,Bergq-07,14-Jun-15,3,-7.225893,-92.8816,-0.00723,-0.0928816,-0.019125,-0.148,-0.013425,-0.10375,-24.86666667,-192.166,-13.425,-99.14525
,Restored,Bergq-07,27-Jun-15,4,-5.15747,-84.060731,-0.00516,-0.084060731,-0.019125,-0.148,-0.013425,-0.10375,-24.86666667,-192.166,-13.425,-99.14525
